sample_id,true_label,pred_ens,ai_correct,ai_error,risk_1_inv_conf,risk_2_margin,risk_3_entropy,risk_4_disagreement,risk_5_missing_fraction,risk_6_critical_missing,risk_7_multimodal_mismatch
0,2,2,1,0,0.09650882239912884,0.8351062396093296,0.3755781624903385,0.0,0.0,0,0
1,2,2,1,0,0.0327872971306884,0.9440466864403808,0.1641446293369355,0.0,0.0,0,0
2,0,0,1,0,0.08822807114398956,0.8337328430843884,0.3299897720321819,0.0,0.0,0,0
3,1,1,1,0,0.11245696448641374,0.8253918381509708,0.4289458384336765,0.0,0.0,0,0
4,2,2,1,0,0.25524685566448335,0.5030913131856226,0.6210917748202485,0.0,0.0,0,0
5,2,2,1,0,0.34203744805320624,0.4390505682783441,0.8658665248817217,0.0,0.0,0,0
6,0,0,1,0,0.2860135094415247,0.4390687879281822,0.6454768643134009,0.0,0.0,0,0
7,0,1,0,1,0.22967234038062256,0.6002085393009474,0.6703261824067612,0.0,0.0,0,0
8,1,2,0,1,0.46127087895449603,0.1180986417594355,0.8276639156525487,0.3333333333333333,0.0,0,0
9,0,0,1,0,0.21189698588389128,0.5878642236321426,0.5616005639723548,0.0,0.0,0,0
10,1,1,1,0,0.3935640127049781,0.2804727825530418,0.8508336018153331,0.3333333333333333,0.0,0,0
11,2,2,1,0,0.5262910742959765,0.1906170925628921,1.0550479037844092,0.6666666666666667,0.0,0,0
12,0,1,0,1,0.17497249135520365,0.6965178902761135,0.5649536856225108,0.0,0.0,0,0
13,2,1,0,1,0.4800824109359523,0.0559969029832359,0.7630496110777727,0.3333333333333333,0.0,0,0
14,2,2,1,0,0.3040708559501235,0.4259661841468596,0.7210121992955094,0.0,0.0,0,0
15,1,1,1,0,0.1718701909577739,0.7225885645080561,0.5734578069728522,0.0,0.0,0,0
16,0,1,0,1,0.15638690473477423,0.7408245022554808,0.5341597098404288,0.0,0.0,0,0
17,2,2,1,0,0.0758606536053118,0.857400642880649,0.2964137078206659,0.0,0.0,0,0
18,1,2,0,1,0.4031768001310695,0.218068333793279,0.766422166384214,0.3333333333333333,0.0,0,0
19,2,2,1,0,0.3274719480165197,0.3858886141403968,0.7555579095933171,0.0,0.0,0,0
20,2,2,1,0,0.0602249238443614,0.8921102823005718,0.2584230745965303,0.0,0.0,0,0
21,2,2,1,0,0.4142162097475798,0.3059899046833502,0.9394083862629644,0.3333333333333333,0.0,0,0
22,1,1,1,0,0.49864187115522596,0.0256386286831645,0.7861264195956157,0.3333333333333333,0.0,0,0
23,2,2,1,0,0.12576934102556214,0.7691554524651385,0.4344988748732942,0.0,0.0,0,0
24,0,0,1,0,0.5497930907939073,0.0137412166123775,0.9679041501495652,0.3333333333333333,0.0,0,0
25,0,0,1,0,0.32365923744187464,0.410488486773585,0.781480773999566,0.0,0.0,0,0
26,2,2,1,0,0.13688767013737324,0.7652752887809895,0.4811137484481853,0.0,0.0,0,0
27,1,2,0,1,0.3121628034089635,0.442420054675281,0.7828233350166577,0.3333333333333333,0.0,0,0
28,1,0,0,1,0.3722361027659239,0.283900264787422,0.7604314963546096,0.0,0.0,0,0
29,2,2,1,0,0.294622347823041,0.4484845007943039,0.7189851141515577,0.3333333333333333,0.0,0,0
30,0,0,1,0,0.18356778545168106,0.6506546422044003,0.535180687308647,0.0,0.0,0,0
31,0,0,1,0,0.3480420428987535,0.3248350245384524,0.7253210282396202,0.3333333333333333,0.0,0,0
32,1,2,0,1,0.641907423028377,0.0055073054029357,1.0941266368536158,0.6666666666666667,0.0,0,0
33,2,2,1,0,0.3779943472779931,0.2639869732042569,0.7412477967078601,0.0,0.0,0,0
34,2,2,1,0,0.28888805196332734,0.4756522213325779,0.7394753101610922,0.0,0.0,0,0
35,1,2,0,1,0.3314152793653514,0.3593696256146286,0.7166289901991059,0.0,0.0,0,0
36,1,1,1,0,0.47869260422683746,0.0633902464067378,0.7777353979944729,0.3333333333333333,0.0,0,0
37,1,1,1,0,0.4842152671686045,0.1997217079158615,1.0053253215614153,0.3333333333333333,0.0,0,0
38,1,1,1,0,0.5303335439162824,0.0145164378221243,0.9077653030366624,0.3333333333333333,0.0,0,0
39,0,0,1,0,0.10779174151719673,0.7967139326371003,0.3801363557636654,0.0,0.0,0,0
40,1,2,0,1,0.5000935595986403,0.0442949215637857,0.8432231431365603,0.3333333333333333,0.0,0,0
41,1,1,1,0,0.40147492738384805,0.2588576692475297,0.8460394453663296,0.0,0.0,0,0
42,2,2,1,0,0.49750569556746793,0.042027153908394,0.8249720959489144,0.3333333333333333,0.0,0,0
43,0,0,1,0,0.31600314042566124,0.4131706058514282,0.7534781477904652,0.0,0.0,0,0
44,1,1,1,0,0.20791629051396787,0.6371333942012994,0.6291732426233723,0.0,0.0,0,0
45,1,1,1,0,0.42178967705724746,0.2323679267846232,0.8797301096935176,0.0,0.0,0,0
46,0,0,1,0,0.1447021455430315,0.7290580732106089,0.4686521631322167,0.0,0.0,0,0
47,1,1,1,0,0.5215297382226314,0.0509038531981161,0.9381988959088728,0.3333333333333333,0.0,0,0
